source_document,page,feature,normalized_feature
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Minimumfocusdistance:0.3m(1ft),minimumfocusdistance:0.3m(1ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AxisZipstreamtechnologyinH.264andH.265,axiszipstreamtechnologyinh.264andh.265
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"M12mount,fixediris","m12mount,fixediris"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Controllableframerateandbandwidth,controllableframerateandbandwidth
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,SeeOptionalaccessoriesforexchangeablelenses,seeoptionalaccessoriesforexchangeablelenses
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,VBR/ABR/MBRH.264andH.265,vbr/abr/mbrh.264andh.265
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Videostreamingindicator,videostreamingindicator
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Minimum illumination,minimum illumination
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"3.6mm,F2.0:","3.6mm,f2.0:"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,WDR,wdr
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Color:0.04luxat30IREF2.0,color:0.04luxat30iref2.0
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,ForensicWDR:Upto120dBdependingonscene,forensicwdr:upto120dbdependingonscene
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Color:0.13luxat50IREF2.0,color:0.13luxat50iref2.0
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"2.8mm,F1.2:","2.8mm,f1.2:"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Color:0.02luxat30IREF1.2 Noisereduction,color:0.02luxat30iref1.2 noisereduction
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Color:0.07luxat50IREF1.2 Spatialfilter(2Dnoisereduction),color:0.07luxat50iref1.2 spatialfilter(2dnoisereduction)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Temporalfilter(3Dnoisereduction),temporalfilter(3dnoisereduction)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Shutterspeed,shutterspeed
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,WithWDR:1/19000sto1/5s Imagesettings,withwdr:1/19000sto1/5s imagesettings
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"NoWDR:1/17000sto1/5s Compression,brightness,sharpness,contrast,white","nowdr:1/17000sto1/5s compression,brightness,sharpness,contrast,white"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"balance,ForensicWDR,exposurecontrol,exposure","balance,forensicwdr,exposurecontrol,exposure"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"zones,finetuningofbehavioratlowlight,rotation:0°,","zones,finetuningofbehavioratlowlight,rotation:0°,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Camera adjustment,camera adjustment
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"90°,180°,270°includingCorridorFormat,dynamic","90°,180°,270°includingcorridorformat,dynamic"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Pan:±30°,pan:±30°
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,"overlay,32individualpolygonalprivacymask,mirroring","overlay,32individualpolygonalprivacymask,mirroring"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Tilt:15-90°,tilt:15-90°
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,ofimages,ofimages
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Rotation:±175°,rotation:±175°
